Rank,Link,Team,Season
1,https://www.whoscored.com/Teams/65/Archive/Spain-Barcelona?stageId=4624,Barcelona,2010/2011
2,https://www.whoscored.com/Teams/52/Archive/Spain-Real-Madrid?stageId=4624,Real Madrid,2010/2011
3,https://www.whoscored.com/Teams/55/Archive/Spain-Valencia?stageId=4624,Valencia,2010/2011
4,https://www.whoscored.com/Teams/839/Archive/Spain-Villarreal?stageId=4624,Villarreal,2010/2011
5,https://www.whoscored.com/Teams/67/Archive/Spain-Sevilla?stageId=4624,Sevilla,2010/2011
6,https://www.whoscored.com/Teams/53/Archive/Spain-Athletic-Club?stageId=4624,Athletic Bilbao,2010/2011
7,https://www.whoscored.com/Teams/63/Archive/Spain-Atletico-Madrid?stageId=4624,Atletico Madrid,2010/2011
8,https://www.whoscored.com/Teams/70/Archive/Spain-Espanyol?stageId=4624,Espanyol,2010/2011
9,https://www.whoscored.com/Teams/131/Archive/Spain-Osasuna?stageId=4624,Osasuna,2010/2011
10,https://www.whoscored.com/Teams/830/Archive/Spain-Sporting-Gijon?stageId=4624,Sporting Gijon,2010/2011
11,https://www.whoscored.com/Teams/69/Archive/Spain-Malaga?stageId=4624,Malaga,2010/2011
12,https://www.whoscored.com/Teams/56/Archive/Spain-Racing-Santander?stageId=4624,Racing Santander,2010/2011
13,https://www.whoscored.com/Teams/66/Archive/Spain-Real-Zaragoza?stageId=4624,Real Zaragoza,2010/2011
14,https://www.whoscored.com/Teams/832/Archive/Spain-Levante?stageId=4624,Levante,2010/2011
15,https://www.whoscored.com/Teams/68/Archive/Spain-Real-Sociedad?stageId=4624,Real Sociedad,2010/2011
16,https://www.whoscored.com/Teams/819/Archive/Spain-Getafe?stageId=4624,Getafe,2010/2011
17,https://www.whoscored.com/Teams/51/Archive/Spain-Mallorca?stageId=4624,Mallorca,2010/2011
18,https://www.whoscored.com/Teams/59/Archive/Spain-Deportivo-La-Coruna?stageId=4624,Deportivo La Coruna,2010/2011
19,https://www.whoscored.com/Teams/1857/Archive/Spain-Hercules,Hercules,2010/2011
20,https://www.whoscored.com/Teams/1799/Archive/Spain-Almeria?stageId=4624,Almeria,2010/2011
1,https://www.whoscored.com/Teams/52/Archive/Spain-Real-Madrid?stageId=5577,Real Madrid,2011/2012
2,https://www.whoscored.com/Teams/65/Archive/Spain-Barcelona?stageId=5577,Barcelona,2011/2012
3,https://www.whoscored.com/Teams/55/Archive/Spain-Valencia?stageId=5577,Valencia,2011/2012
4,https://www.whoscored.com/Teams/69/Archive/Spain-Malaga?stageId=5577,Malaga,2011/2012
5,https://www.whoscored.com/Teams/63/Archive/Spain-Atletico-Madrid?stageId=5577,Atletico Madrid,2011/2012
6,https://www.whoscored.com/Teams/832/Archive/Spain-Levante?stageId=5577,Levante,2011/2012
7,https://www.whoscored.com/Teams/131/Archive/Spain-Osasuna?stageId=5577,Osasuna,2011/2012
8,https://www.whoscored.com/Teams/51/Archive/Spain-Mallorca?stageId=5577,Mallorca,2011/2012
9,https://www.whoscored.com/Teams/67/Archive/Spain-Sevilla?stageId=5577,Sevilla,2011/2012
10,https://www.whoscored.com/Teams/53/Archive/Spain-Athletic-Club?stageId=5577,Athletic Bilbao,2011/2012
11,https://www.whoscored.com/Teams/819/Archive/Spain-Getafe?stageId=5577,Getafe,2011/2012
12,https://www.whoscored.com/Teams/68/Archive/Spain-Real-Sociedad?stageId=5577,Real Sociedad,2011/2012
13,https://www.whoscored.com/Teams/54/Archive/Spain-Real-Betis?stageId=5577,Real Betis,2011/2012
14,https://www.whoscored.com/Teams/70/Archive/Spain-Espanyol?stageId=5577,Espanyol,2011/2012
15,https://www.whoscored.com/Teams/64/Archive/Spain-Rayo-Vallecano?stageId=5577,Rayo Vallecano,2011/2012
16,https://www.whoscored.com/Teams/66/Archive/Spain-Real-Zaragoza?stageId=5577,Real Zaragoza,2011/2012
17,https://www.whoscored.com/Teams/925/Archive/Spain-Granada?stageId=5577,Granada,2011/2012
18,https://www.whoscored.com/Teams/839/Archive/Spain-Villarreal?stageId=5577,Villarreal,2011/2012
19,https://www.whoscored.com/Teams/830/Archive/Spain-Sporting-Gijon?stageId=5577,Sporting Gijon,2011/2012
20,https://www.whoscored.com/Teams/56/Archive/Spain-Racing-Santander,Racing Santander,2011/2012
1,https://www.whoscored.com/Teams/65/Archive/Spain-Barcelona?stageId=6652,Barcelona,2012/2013
2,https://www.whoscored.com/Teams/52/Archive/Spain-Real-Madrid?stageId=6652,Real Madrid,2012/2013
3,https://www.whoscored.com/Teams/63/Archive/Spain-Atletico-Madrid?stageId=6652,Atletico Madrid,2012/2013
4,https://www.whoscored.com/Teams/68/Archive/Spain-Real-Sociedad?stageId=6652,Real Sociedad,2012/2013
5,https://www.whoscored.com/Teams/55/Archive/Spain-Valencia?stageId=6652,Valencia,2012/2013
6,https://www.whoscored.com/Teams/69/Archive/Spain-Malaga?stageId=6652,Malaga,2012/2013
7,https://www.whoscored.com/Teams/54/Archive/Spain-Real-Betis?stageId=6652,Real Betis,2012/2013
8,https://www.whoscored.com/Teams/64/Archive/Spain-Rayo-Vallecano?stageId=6652,Rayo Vallecano,2012/2013
9,https://www.whoscored.com/Teams/67/Archive/Spain-Sevilla?stageId=6652,Sevilla,2012/2013
10,https://www.whoscored.com/Teams/819/Archive/Spain-Getafe?stageId=6652,Getafe,2012/2013
11,https://www.whoscored.com/Teams/832/Archive/Spain-Levante?stageId=6652,Levante,2012/2013
12,https://www.whoscored.com/Teams/53/Archive/Spain-Athletic-Club?stageId=6652,Athletic Bilbao,2012/2013
13,https://www.whoscored.com/Teams/70/Archive/Spain-Espanyol?stageId=6652,Espanyol,2012/2013
14,https://www.whoscored.com/Teams/58/Archive/Spain-Real-Valladolid?stageId=6652,Real Valladolid,2012/2013
15,https://www.whoscored.com/Teams/925/Archive/Spain-Granada?stageId=6652,Granada,2012/2013
16,https://www.whoscored.com/Teams/131/Archive/Spain-Osasuna?stageId=6652,Osasuna,2012/2013
17,https://www.whoscored.com/Teams/62/Archive/Spain-Celta-Vigo?stageId=6652,Celta Vigo,2012/2013
18,https://www.whoscored.com/Teams/51/Archive/Spain-Mallorca?stageId=6652,Mallorca,2012/2013
19,https://www.whoscored.com/Teams/59/Archive/Spain-Deportivo-La-Coruna?stageId=6652,Deportivo La Coruna,2012/2013
20,https://www.whoscored.com/Teams/66/Archive/Spain-Real-Zaragoza,Real Zaragoza,2012/2013
1,https://www.whoscored.com/Teams/63/Archive/Spain-Atletico-Madrid?stageId=7920,Atletico Madrid,2013/2014
2,https://www.whoscored.com/Teams/65/Archive/Spain-Barcelona?stageId=7920,Barcelona,2013/2014
3,https://www.whoscored.com/Teams/52/Archive/Spain-Real-Madrid?stageId=7920,Real Madrid,2013/2014
4,https://www.whoscored.com/Teams/53/Archive/Spain-Athletic-Club?stageId=7920,Athletic Bilbao,2013/2014
5,https://www.whoscored.com/Teams/67/Archive/Spain-Sevilla?stageId=7920,Sevilla,2013/2014
6,https://www.whoscored.com/Teams/839/Archive/Spain-Villarreal?stageId=7920,Villarreal,2013/2014
7,https://www.whoscored.com/Teams/68/Archive/Spain-Real-Sociedad?stageId=7920,Real Sociedad,2013/2014
8,https://www.whoscored.com/Teams/55/Archive/Spain-Valencia?stageId=7920,Valencia,2013/2014
9,https://www.whoscored.com/Teams/62/Archive/Spain-Celta-Vigo?stageId=7920,Celta Vigo,2013/2014
10,https://www.whoscored.com/Teams/832/Archive/Spain-Levante?stageId=7920,Levante,2013/2014
11,https://www.whoscored.com/Teams/69/Archive/Spain-Malaga?stageId=7920,Malaga,2013/2014
12,https://www.whoscored.com/Teams/64/Archive/Spain-Rayo-Vallecano?stageId=7920,Rayo Vallecano,2013/2014
13,https://www.whoscored.com/Teams/819/Archive/Spain-Getafe?stageId=7920,Getafe,2013/2014
14,https://www.whoscored.com/Teams/70/Archive/Spain-Espanyol?stageId=7920,Espanyol,2013/2014
15,https://www.whoscored.com/Teams/925/Archive/Spain-Granada?stageId=7920,Granada,2013/2014
16,https://www.whoscored.com/Teams/833/Archive/Spain-Elche?stageId=7920,Elche,2013/2014
17,https://www.whoscored.com/Teams/1799/Archive/Spain-Almeria?stageId=7920,Almeria,2013/2014
18,https://www.whoscored.com/Teams/131/Archive/Spain-Osasuna?stageId=7920,Osasuna,2013/2014
19,https://www.whoscored.com/Teams/58/Archive/Spain-Real-Valladolid?stageId=7920,Real Valladolid,2013/2014
20,https://www.whoscored.com/Teams/54/Archive/Spain-Real-Betis?stageId=7920,Real Betis,2013/2014
1,https://www.whoscored.com/Teams/65/Archive/Spain-Barcelona?stageId=11363,Barcelona,2014/2015
2,https://www.whoscored.com/Teams/52/Archive/Spain-Real-Madrid?stageId=11363,Real Madrid,2014/2015
3,https://www.whoscored.com/Teams/63/Archive/Spain-Atletico-Madrid?stageId=11363,Atletico Madrid,2014/2015
4,https://www.whoscored.com/Teams/55/Archive/Spain-Valencia?stageId=11363,Valencia,2014/2015
5,https://www.whoscored.com/Teams/67/Archive/Spain-Sevilla?stageId=11363,Sevilla,2014/2015
6,https://www.whoscored.com/Teams/839/Archive/Spain-Villarreal?stageId=11363,Villarreal,2014/2015
7,https://www.whoscored.com/Teams/53/Archive/Spain-Athletic-Club?stageId=11363,Athletic Bilbao,2014/2015
8,https://www.whoscored.com/Teams/62/Archive/Spain-Celta-Vigo?stageId=11363,Celta Vigo,2014/2015
9,https://www.whoscored.com/Teams/69/Archive/Spain-Malaga?stageId=11363,Malaga,2014/2015
10,https://www.whoscored.com/Teams/70/Archive/Spain-Espanyol?stageId=11363,Espanyol,2014/2015
11,https://www.whoscored.com/Teams/64/Archive/Spain-Rayo-Vallecano?stageId=11363,Rayo Vallecano,2014/2015
12,https://www.whoscored.com/Teams/68/Archive/Spain-Real-Sociedad?stageId=11363,Real Sociedad,2014/2015
13,https://www.whoscored.com/Teams/833/Archive/Spain-Elche?stageId=11363,Elche,2014/2015
14,https://www.whoscored.com/Teams/832/Archive/Spain-Levante?stageId=11363,Levante,2014/2015
15,https://www.whoscored.com/Teams/819/Archive/Spain-Getafe?stageId=11363,Getafe,2014/2015
16,https://www.whoscored.com/Teams/59/Archive/Spain-Deportivo-La-Coruna?stageId=11363,Deportivo La Coruna,2014/2015
17,https://www.whoscored.com/Teams/925/Archive/Spain-Granada?stageId=11363,Granada,2014/2015
18,https://www.whoscored.com/Teams/824/Archive/Spain-Eibar?stageId=11363,Eibar,2014/2015
19,https://www.whoscored.com/Teams/1799/Archive/Spain-Almeria?stageId=11363,Almeria,2014/2015
20,https://www.whoscored.com/Teams/820/Archive/Spain-Cordoba,Cordoba,2014/2015
1,https://www.whoscored.com/Teams/65/Archive/Spain-Barcelona?stageId=12647,Barcelona,2015/2016
